times,odmr_peak_pos_0[Hz],odmr_peak_pos_1[Hz]
2024-04-19 19:29:20.211722,2648160572.08095,2724791437.8354006
2024-04-19 19:29:26.239279,2648161547.267528,2724791277.2101793
2024-04-19 19:29:31.640182,2648164106.889966,2724789040.2604437
2024-04-19 19:29:37.050600,2648160219.4854994,2724793890.675284
2024-04-19 19:29:42.507440,2648159565.173644,2724794267.904609
2024-04-19 19:29:48.603201,2648158492.803133,2724790721.370335
2024-04-19 19:29:54.682507,2648158585.9136696,2724790369.4415846
2024-04-19 19:30:00.140690,2648161025.5613937,2724791809.6717405
2024-04-19 19:30:05.611369,2648158368.5186577,2724787410.0495424
2024-04-19 19:30:11.680215,2648157347.6271405,2724788060.7002096
2024-04-19 19:30:17.105748,2648158086.626155,2724786731.0718784
2024-04-19 19:30:22.519573,2648162278.7071733,2724785440.05118
2024-04-19 19:30:28.515469,2648161680.7181416,2724790096.955673
2024-04-19 19:30:34.627344,2648161187.455031,2724789051.8760104
2024-04-19 19:30:40.703883,2648156758.143221,2724785298.541316
2024-04-19 19:30:46.117569,2648162935.3614388,2724786719.187297
2024-04-19 19:30:51.493664,2648163104.926075,2724784636.116077
2024-04-19 19:30:57.557661,2648161902.2858343,2724783777.847998
2024-04-19 19:31:03.584236,2648165420.22898,2724783747.7146235
2024-04-19 19:31:09.601290,2648162233.8554354,2724784752.1311893
2024-04-19 19:31:15.618115,2648164727.401105,2724785135.4442472
2024-04-19 19:31:21.648718,2648163527.432035,2724783521.4169903
2024-04-19 19:31:27.688386,2648163453.323466,2724787449.9768815
2024-04-19 19:31:33.148492,2648160980.9816976,2724789357.4963746
2024-04-19 19:31:39.196095,2648160568.3197412,2724787492.348737
2024-04-19 19:31:44.603193,2648161445.3397865,2724788514.968404
2024-04-19 19:31:50.633065,2648163238.1022677,2724784700.979972
2024-04-19 19:31:56.619030,2648165883.4933653,2724786756.990889
2024-04-19 19:32:01.406103,2648161490.0639215,2724785242.137782
2024-04-19 19:32:07.424079,2648163149.38813,2724786359.6448
2024-04-19 19:32:13.438390,2648165286.4478393,2724784288.7318883
2024-04-19 19:32:18.908479,2648164106.722821,2724787393.40456
2024-04-19 19:32:23.682536,2648162524.2632155,2724786095.585278
2024-04-19 19:32:29.144293,2648162155.531961,2724787763.025853
2024-04-19 19:32:34.566267,2648165038.2300324,2724783470.199914
2024-04-19 19:32:39.988755,2648162961.067424,2724786200.0006685
2024-04-19 19:32:46.037758,2648162714.699131,2724786405.274675
2024-04-19 19:32:52.049669,2648162253.628105,2724785303.5011406
2024-04-19 19:32:58.112611,2648162498.0384445,2724784652.1858253
2024-04-19 19:33:02.929586,2648166207.0794706,2724784749.425213
2024-04-19 19:33:08.982122,2648162534.7900257,2724784003.939789
2024-04-19 19:33:14.474086,2648163446.617525,2724784137.58057
2024-04-19 19:33:19.850022,2648165895.5957317,2724789174.54263
2024-04-19 19:33:25.920056,2648164528.195833,2724786302.719733
2024-04-19 19:33:31.386195,2648163275.132967,2724785728.063104
2024-04-19 19:33:37.488907,2648164080.336987,2724786978.442395
2024-04-19 19:33:42.950915,2648163271.02843,2724785703.701766
2024-04-19 19:33:48.370402,2648163540.844935,2724788643.732462
2024-04-19 19:33:53.846970,2648161800.391639,2724787932.0085893
2024-04-19 19:33:59.303911,2648164573.4089317,2724785164.6459312
2024-04-19 19:34:05.172128,2648165488.6398716,2724786248.383069
2024-04-19 19:34:10.599851,2648161624.8278213,2724783415.2364197
2024-04-19 19:34:16.029241,2648162691.954198,2724783169.273808
2024-04-19 19:34:21.448644,2648163496.84991,2724784953.044727
2024-04-19 19:34:26.913024,2648162304.1578693,2724787416.507168
2024-04-19 19:34:32.327983,2648167387.613873,2724784931.4066453
2024-04-19 19:34:38.396913,2648162631.3616123,2724785607.956246
2024-04-19 19:34:44.582532,2648163582.8087244,2724783707.8124027
2024-04-19 19:34:50.641446,2648162884.469204,2724788067.9009504
2024-04-19 19:34:56.135143,2648164268.0935326,2724785699.6198606
2024-04-19 19:35:01.570480,2648163246.608156,2724791865.9822845
2024-04-19 19:35:06.942861,2648160655.7036095,2724788128.522981
2024-04-19 19:35:13.018366,2648160431.211395,2724787307.405241
2024-04-19 19:35:19.054811,2648166228.0237527,2724786052.5107117
2024-04-19 19:35:24.530787,2648160733.4616313,2724789450.3023825
2024-04-19 19:35:30.647744,2648163235.442457,2724786203.3755693
2024-04-19 19:35:36.733290,2648163173.732122,2724784347.4018617
2024-04-19 19:35:42.157640,2648165450.868316,2724783709.747005
2024-04-19 19:35:48.170689,2648164516.736767,2724783656.061903
2024-04-19 19:35:54.266964,2648163198.4804053,2724786838.286379
2024-04-19 19:35:59.707741,2648162639.383342,2724788859.223407
2024-04-19 19:36:05.113255,2648161202.516369,2724783665.785431
2024-04-19 19:36:11.154055,2648162274.352758,2724783882.1337996
2024-04-19 19:36:15.979588,2648164912.8724203,2724782077.6150665
2024-04-19 19:36:21.420993,2648165426.747237,2724786613.6359925
2024-04-19 19:36:26.821753,2648163485.817776,2724786369.9169106
2024-04-19 19:36:32.281636,2648166949.632784,2724781022.4332085
2024-04-19 19:36:37.134445,2648165300.7574873,2724784957.543717
2024-04-19 19:36:42.568304,2648164501.188401,2724785657.335655
2024-04-19 19:36:48.050090,2648165940.6092553,2724785503.847101
2024-04-19 19:36:54.121362,2648166906.705523,2724786845.855697
2024-04-19 19:37:00.137861,2648166932.087118,2724784445.9914093
2024-04-19 19:37:05.975214,2648166298.3842206,2724782633.78878
2024-04-19 19:37:11.967173,2648164410.1592646,2724784136.0176063
2024-04-19 19:37:17.408005,2648168000.0176663,2724783121.7682524
2024-04-19 19:37:22.771620,2648165669.021708,2724785343.4431553
2024-04-19 19:37:28.176968,2648161887.136577,2724781325.9516554
2024-04-19 19:37:34.254051,2648165764.331952,2724782525.482731
2024-04-19 19:37:39.717443,2648166512.725169,2724786803.5430927
2024-04-19 19:37:45.759935,2648164129.6895323,2724785219.428445
2024-04-19 19:37:51.162512,2648164572.812969,2724786424.6234183
2024-04-19 19:37:57.266957,2648165088.36555,2724786636.6848
2024-04-19 19:38:02.432609,2648163532.545826,2724784210.5281954
2024-04-19 19:38:08.519718,2648161776.6925707,2724782988.1449075
2024-04-19 19:38:13.919893,2648163421.809237,2724758267.4645166
2024-04-19 19:38:18.731588,2648219556.796369,2724740347.6668906
2024-04-19 19:38:24.121542,2648219520.474737,2724741998.9803243
2024-04-19 19:38:29.506393,2648218847.127652,2724758278.4620767
2024-04-19 19:38:34.954764,2648215053.2349215,2724745036.044504
2024-04-19 19:38:41.008293,2648218443.638275,2724739925.28016
2024-04-19 19:38:47.027465,2648219186.665991,2724743058.81888
2024-04-19 19:38:51.842742,2648220549.162618,2724745572.353304
2024-04-19 19:38:57.857793,2648228172.3975143,2724739104.9783854
2024-04-19 19:39:02.649793,2648246089.4735384,2724732454.0164194
2024-04-19 19:39:08.647119,2648218583.104159,2724746062.940732
2024-04-19 19:39:14.700963,2648220565.1594057,2724747547.7542696
2024-04-19 19:39:20.742028,2648217836.2677965,2724743983.303458
2024-04-19 19:39:26.775030,2648219157.7490044,2724746944.106045
2024-04-19 19:39:32.841470,2648216803.8077,2724745230.5503054
2024-04-19 19:39:38.279685,2648216553.7949514,2724747772.963651
2024-04-19 19:39:44.303999,2648216485.2737217,2724748024.4421244
2024-04-19 19:39:49.665039,2648188480.9380407,2723657427.8844433
2024-04-19 19:39:55.126331,2648203568.231472,2724745149.6066585
2024-04-19 19:40:01.129623,2648216570.5520487,2723683016.6075087
2024-04-19 19:40:06.552653,2648225465.2509885,2724741338.62973
2024-04-19 19:40:11.971253,2648220188.807207,2724745623.229659
2024-04-19 19:40:17.405193,2648220124.991978,2724742390.6240296
2024-04-19 19:40:23.452045,2648218311.5726557,2724743136.8233395
2024-04-19 19:40:29.557840,2648224582.2117453,2723680728.088819
2024-04-19 19:40:35.031375,2648216048.733885,2724746025.5287886
2024-04-19 19:40:41.134179,2648219060.335311,2724743235.212644
2024-04-19 19:40:47.230553,2648216212.682893,2724744565.7850904
2024-04-19 19:40:52.578894,2648205140.2693043,2724748130.791688
2024-04-19 19:40:58.045733,2648215727.6988797,2724752376.606421
2024-04-19 19:41:04.050411,2648215928.7576756,2724747307.893818
2024-04-19 19:41:10.126768,2648235037.3911743,2724743985.7059917
2024-04-19 19:41:15.720139,2648214168.5825415,2724747521.6494904
2024-04-19 19:41:21.300016,2648211725.3970995,2724758042.772607
2024-04-19 19:41:26.749884,2648216227.7677336,2724751023.122591
2024-04-19 19:41:32.205669,2648215887.501508,2724746254.7505836
2024-04-19 19:41:38.300588,2648216890.695844,2724746913.87805
2024-04-19 19:41:44.129672,2648215486.594614,2723675897.285143
2024-04-19 19:41:49.685847,2648199115.197998,2724751719.346895
2024-04-19 19:41:55.752458,2647185214.4000235,2724754925.7590604
2024-04-19 19:42:01.205791,2648206626.08672,2724746150.9926195
2024-04-19 19:42:06.539705,2648211322.877032,2724747129.6224732
2024-04-19 19:42:12.028370,2648248566.1829786,2724736624.505313
2024-04-19 19:42:17.457294,2648209284.0735874,2724748167.120989
2024-04-19 19:42:23.517631,2648214649.53981,2724751603.8440256
2024-04-19 19:42:28.984672,2648214098.701244,2724751209.7228994
2024-04-19 19:42:34.380564,2648213804.118202,2724742104.26193
2024-04-19 19:42:40.256169,2648213885.5686398,2724749872.200409
2024-04-19 19:42:45.018496,2648216149.6003056,2724750890.905812
2024-04-19 19:42:51.012618,2648218649.0941086,2724742525.542577
2024-04-19 19:42:56.413874,2647226204.652934,2723672743.1131687
2024-04-19 19:43:01.786922,2648207283.241412,2724753705.990962
2024-04-19 19:43:07.164942,2648212476.702757,2723682973.2747736
2024-04-19 19:43:13.279647,2648217581.7216377,2724788013.58751
2024-04-19 19:43:18.734436,2648215925.455115,2724751689.218044
2024-04-19 19:43:23.538443,2648223348.0752726,2724749876.1485443
2024-04-19 19:43:29.017504,2648215727.358673,2724748525.7217607
2024-04-19 19:43:35.085022,2648214595.2706056,2724760263.522688
2024-04-19 19:43:40.526057,2648216985.714102,2724745502.6916695
2024-04-19 19:43:45.366358,2648215920.1209855,2724745993.9832664
2024-04-19 19:43:50.171626,2648217137.558612,2724746987.8734417
2024-04-19 19:43:56.188167,2648216375.518861,2724744232.3156614
2024-04-19 19:44:00.983277,2648215532.303749,2724747752.393299
2024-04-19 19:44:07.031971,2648220286.5336595,2724745481.9702187
2024-04-19 19:44:12.513671,2648216297.406423,2724748513.1103134
2024-04-19 19:44:17.618790,2648218641.6664524,2724753804.894916
2024-04-19 19:44:23.072564,2648213734.4007397,2724749329.165962
2024-04-19 19:44:28.171266,2648216157.3504095,2724746168.359838
2024-04-19 19:44:33.555211,2648213466.0315204,2724746031.4850206
2024-04-19 19:44:39.694491,2648217368.540615,2724746752.9579916
2024-04-19 19:44:45.768793,2648218390.0906286,2724747674.927164
2024-04-19 19:44:50.639521,2648215886.7465,2724749208.844756
2024-04-19 19:44:56.122067,2648213779.4693074,2724748266.6566505
2024-04-19 19:45:00.966195,2648212616.8524904,2724745745.919839
2024-04-19 19:45:06.967131,2648215068.3668704,2724745043.790427
2024-04-19 19:45:12.916319,2648217905.534263,2724744129.483981
2024-04-19 19:45:18.934853,2648217309.776828,2724740242.609647
2024-04-19 19:45:24.377299,2648226798.4125237,2724745949.527749
2024-04-19 19:45:29.860161,2648216839.266033,2724742486.210073
2024-04-19 19:45:35.855644,2648215929.637981,2724743511.61619
2024-04-19 19:45:41.892572,2648220953.353709,2724743081.958208
2024-04-19 19:45:47.077027,2648217347.6400223,2724748974.3803835
2024-04-19 19:45:53.156873,2648215910.012085,2724746306.1905923
2024-04-19 19:45:58.222984,2648211443.113059,2724746139.107479
2024-04-19 19:46:03.830569,2648216420.4578004,2724746334.753812
2024-04-19 19:46:08.908126,2648218814.624796,2724748351.2147493
2024-04-19 19:46:14.914732,2648212479.60528,2724746528.425576
2024-04-19 19:46:20.498862,2648215658.829653,2724746266.3242846
2024-04-19 19:46:25.908781,2648215937.427843,2724747534.755659
2024-04-19 19:46:31.324857,2648216986.7429776,2724745994.4950585
2024-04-19 19:46:37.383973,2648216657.4307213,2724752679.0334816
2024-04-19 19:46:43.497720,2648216173.042897,2724745511.736434
2024-04-19 19:46:49.575669,2648216039.852714,2724746565.856235
2024-04-19 19:46:54.402500,2648215131.4262056,2724744486.6595078
2024-04-19 19:46:59.719504,2648218166.6461744,2724751704.7611346
2024-04-19 19:47:05.918149,2648157494.1828074,2724719319.811082
2024-04-19 19:47:10.881257,2648227329.9566164,2724756238.801855
2024-04-19 19:47:15.743813,2648242331.280202,2724745545.4950266
2024-04-19 19:47:21.174813,2648216296.676409,2724748638.2262115
2024-04-19 19:47:26.209626,2648215589.171945,2724745496.352604
2024-04-19 19:47:32.301639,2648216627.5986958,2724751277.4134846
2024-04-19 19:47:37.134604,2648216561.9266167,2724746148.851556
2024-04-19 19:47:42.656114,2648217080.6363063,2724746539.0757384
2024-04-19 19:47:48.060639,2648211901.593917,2724747183.455058
2024-04-19 19:47:54.119222,2648213568.6193676,2724749198.638571
2024-04-19 19:48:00.140250,2648215010.4059944,2724748248.7986813
2024-04-19 19:48:05.575887,2648218780.5849886,2724744514.666517
2024-04-19 19:48:11.410535,2648218878.916955,2724745524.3556514
2024-04-19 19:48:16.853234,2648215841.376422,2724747638.7580404
2024-04-19 19:48:22.887239,2648217581.0502577,2724745071.9149446
2024-04-19 19:48:28.943751,2648213359.8756733,2724745607.6695423
2024-04-19 19:48:34.438092,2648216370.357865,2724746239.963081
2024-04-19 19:48:40.537314,2648220218.241164,2724744068.17488
2024-04-19 19:48:45.930106,2648214186.384982,2724746607.71891
2024-04-19 19:48:50.744100,2648213771.1785417,2724747896.8800373
2024-04-19 19:48:56.799028,2648213944.9700685,2724748037.753213
2024-04-19 19:49:02.244457,2648218020.9822006,2724746975.8958445
2024-04-19 19:49:07.740093,2648214742.002999,2724747707.223748
2024-04-19 19:49:13.177980,2648215360.7433825,2725766246.833238
2024-04-19 19:49:19.181446,2647199244.3320074,2723681608.5216017
2024-04-19 19:49:25.219303,2648214102.9214525,2724747638.0361648
2024-04-19 19:49:31.258827,2648217274.681871,2724748908.1733527
2024-04-19 19:49:36.763564,2648217621.92105,2724747078.350259
2024-04-19 19:49:42.528292,2648225642.0241156,2724747446.0471907
2024-04-19 19:49:48.342355,2648217505.560025,2724748280.264256
2024-04-19 19:49:53.790285,2648217058.1978016,2724749667.21476
2024-04-19 19:49:59.800869,2648215058.5496964,2724749964.184433
2024-04-19 19:50:05.786052,2648215149.328092,2724749109.875037
2024-04-19 19:50:11.800169,2648215113.1508875,2724747943.2563667
2024-04-19 19:50:17.788694,2648214118.05145,2724749784.5591116
2024-04-19 19:50:23.632405,2648215283.842003,2724750830.830979
2024-04-19 19:50:29.166594,2648215872.0149117,2724745392.473864
2024-04-19 19:50:34.744803,2648216284.0017967,2724749660.140154
2024-04-19 19:50:40.819911,2648213573.1694236,2724748806.757413
2024-04-19 19:50:46.298687,2648218138.0277367,2724746962.2280464
2024-04-19 19:50:52.372091,2648215668.393057,2724744855.274842
2024-04-19 19:50:57.788155,2648219168.5309443,2724748297.600484
2024-04-19 19:51:03.214042,2648216686.314784,2724750378.354375
2024-04-19 19:51:09.230362,2648215795.0076294,2724750224.307884
2024-04-19 19:51:15.227746,2648215386.256606,2724749271.105682
2024-04-19 19:51:21.302745,2648217524.7156563,2724748546.6311064
2024-04-19 19:51:26.765603,2648214924.91467,2724746340.4676676
2024-04-19 19:51:32.903121,2648215495.7681403,2724746721.0977263
2024-04-19 19:51:38.305308,2648216313.3992653,2724749578.8851876
2024-04-19 19:51:43.134985,2648218395.8950005,2724749528.4116898
2024-04-19 19:51:49.187514,2648216677.439763,2724748603.98174
2024-04-19 19:51:54.655244,2648218527.9173665,2724747308.218797
2024-04-19 19:51:59.786124,2648214466.986593,2724751493.9198713
2024-04-19 19:52:05.949487,2648214482.010918,2724748182.2386518
2024-04-19 19:52:11.995651,2648225510.7845287,2724747352.255102
2024-04-19 19:52:17.420536,2648213951.729276,2724748266.5475845
2024-04-19 19:52:23.489934,2648213409.05639,2724748364.965343
2024-04-19 19:52:29.533980,2648210436.4099236,2724750322.605302
2024-04-19 19:52:35.559863,2648212870.3673277,2724748775.2049203
2024-04-19 19:52:40.977299,2648211398.223572,2724749699.146793
2024-04-19 19:52:46.453112,2648215510.625333,2724749951.814082
2024-04-19 19:52:52.512603,2648213670.3051815,2724748708.9652567
2024-04-19 19:52:58.533422,2648217592.375517,2724749288.510948
2024-04-19 19:53:04.549475,2648214497.807604,2724748671.7211323
2024-04-19 19:53:09.952429,2648216009.9863772,2724754073.670602
2024-04-19 19:53:15.394067,2648213666.7367516,2724749961.9596815
2024-04-19 19:53:20.799750,2648213052.662983,2724753051.107307
2024-04-19 19:53:26.893302,2648214836.5019264,2724748358.328025
2024-04-19 19:53:32.656808,2648211809.592836,2724756538.67735
2024-04-19 19:53:38.667878,2648212085.2516394,2724752469.132038
2024-04-19 19:53:44.669934,2648210500.0518284,2724752140.009078
2024-04-19 19:53:50.086305,2648212087.5835714,2724750298.2255344
2024-04-19 19:53:55.455072,2648212792.0152063,2724750203.619808
2024-04-19 19:54:00.675212,2648210847.475438,2724750671.950251
2024-04-19 19:54:06.041874,2648215769.7218733,2724752316.672375
2024-04-19 19:54:11.600216,2648212796.2318234,2724747922.089343
2024-04-19 19:54:16.571720,2648214061.781666,2724750213.990834
2024-04-19 19:54:22.707631,2648210359.1419992,2724753316.828372
2024-04-19 19:54:28.754684,2648212020.8800163,2724753199.265543
2024-04-19 19:54:34.727040,2648212739.7887354,2724753222.5275283
2024-04-19 19:54:40.120604,2648211483.8079977,2724750525.6922584
2024-04-19 19:54:44.971775,2648215346.347147,2724754062.422199
2024-04-19 19:54:51.049854,2648212094.4403253,2724749992.8939824
2024-04-19 19:54:56.912003,2648211967.8386908,2724753136.532803
2024-04-19 19:55:02.970826,2648212664.367076,2724751307.295105
2024-04-19 19:55:08.417895,2648214967.7718225,2724753569.3875656
2024-04-19 19:55:13.834678,2648211755.988265,2724753359.83037
2024-04-19 19:55:18.903795,2648213686.6486645,2724755714.9317617
2024-04-19 19:55:24.358954,2648213573.9753456,2724754406.0809216
2024-04-19 19:55:29.171532,2648215287.355879,2724753158.907612
2024-04-19 19:55:34.593472,2648214173.091907,2724748708.4981728
2024-04-19 19:55:39.394859,2648214679.935976,2724752834.021618
2024-04-19 19:55:45.432437,2648213669.8669047,2724750979.12778
2024-04-19 19:55:51.601069,2648213649.187496,2724750494.9857683
2024-04-19 19:55:57.401191,2648214022.0525746,2724754923.2691894
2024-04-19 19:56:02.826416,2648211925.266349,2724757406.3674974
2024-04-19 19:56:08.236743,2648211449.808155,2724756076.357068
2024-04-19 19:56:13.627611,2648214387.5176134,2724755392.4578123
2024-04-19 19:56:19.057690,2648211887.807459,2724757667.6080465
2024-04-19 19:56:25.111068,2648209209.5310764,2724755130.1717916
2024-04-19 19:56:30.134253,2648209323.6088057,2724755900.3209014
2024-04-19 19:56:36.131572,2648211911.4447203,2724757005.376675
2024-04-19 19:56:42.146281,2648213468.522278,2724756172.3586607
2024-04-19 19:56:48.213395,2648211997.544384,2724755829.226403
2024-04-19 19:56:53.604934,2648211512.3166823,2724757157.7255745
2024-04-19 19:56:59.055325,2648214025.2521777,2724752818.654433
2024-04-19 19:57:03.991495,2648214917.7148824,2724752595.6736684
2024-04-19 19:57:09.413824,2648211039.5358076,2724755943.4305954
2024-04-19 19:57:15.518355,2648210150.6528425,2724756040.386318
2024-04-19 19:57:20.472920,2648212678.7416954,2724754486.1368775
2024-04-19 19:57:25.870266,2648214364.770837,2724753893.5274105
2024-04-19 19:57:31.886345,2648211216.7526917,2724752918.0659475
2024-04-19 19:57:37.317738,2648212591.598748,2724754692.0255504
2024-04-19 19:57:43.336809,2648215097.3658166,2724754293.6769485
2024-04-19 19:57:48.712282,2648213615.0015955,2724752111.8366413
2024-04-19 19:57:54.151474,2648211710.297153,2724751930.180381
2024-04-19 19:57:59.592998,2648209536.2547607,2724753883.8548107
2024-04-19 19:58:05.035575,2648211061.760812,2724754730.5044003
2024-04-19 19:58:10.435538,2648209639.709566,2724758507.0021877
2024-04-19 19:58:15.288216,2648212746.596375,2724755969.9921775
2024-04-19 19:58:20.088796,2648207660.851899,2724761943.1938815
2024-04-19 19:58:25.493687,2648210064.981616,2724755472.9581013
2024-04-19 19:58:31.553548,2648211694.397504,2724756136.2314725
2024-04-19 19:58:37.017499,2648210108.8387423,2724757887.721818
2024-04-19 19:58:42.424511,2648208597.118224,2724756514.969059
2024-04-19 19:58:47.850863,2648211694.0948586,2724754632.4964714
2024-04-19 19:58:53.888775,2648210203.5820727,2724754584.462168
2024-04-19 19:58:58.691069,2648207201.489065,2724757476.643429
2024-04-19 19:59:03.485385,2648212981.59536,2724755878.6848555
2024-04-19 19:59:08.961182,2648212241.686843,2724754601.129203
2024-04-19 19:59:13.774822,2648211136.3301444,2724754661.919787
2024-04-19 19:59:19.213074,2648212038.582785,2724753514.584182
2024-04-19 19:59:24.586862,2648212016.139061,2724756874.3815465
2024-04-19 19:59:29.962818,2648210716.545514,2724755063.431431
2024-04-19 19:59:35.370568,2648211002.8863516,2724764294.9659386
2024-04-19 19:59:41.445607,2648212451.098304,2724759633.1906776
2024-04-19 19:59:47.505343,2648209973.52282,2724757122.1920652
2024-04-19 19:59:53.505317,2648212194.4592614,2724756570.1314483
2024-04-19 19:59:58.922294,2648213341.6695566,2724756027.408617
2024-04-19 20:00:04.935464,2648211832.729591,2724754364.0179815
2024-04-19 20:00:10.352276,2648214790.6252985,2724754849.078886
2024-04-19 20:00:16.407480,2648212689.587345,2724754235.611968
2024-04-19 20:00:22.437693,2648215457.214798,2724754820.02929
2024-04-19 20:00:27.874091,2648210846.499947,2724757684.779259
2024-04-19 20:00:33.926545,2648211361.894737,2724756848.982778
2024-04-19 20:00:39.323252,2648211366.298367,2724756943.745554
2024-04-19 20:00:44.705519,2648207231.225878,2724761082.987107
2024-04-19 20:00:50.092708,2648212144.921542,2724759614.596177
2024-04-19 20:00:56.143443,2648213294.196976,2724756967.7009554
2024-04-19 20:01:01.529834,2648214215.245607,2724756591.5570383
2024-04-19 20:01:07.550892,2648212712.912299,2724756067.7504916
2024-04-19 20:01:13.615254,2648207497.6191435,2724755159.1454697
2024-04-19 20:01:19.661480,2648211527.0185766,2724760408.3952627
2024-04-19 20:01:25.115335,2648211763.5077696,2724754370.89907
2024-04-19 20:01:29.907329,2648215168.7305393,2724757334.2537813
2024-04-19 20:01:35.306930,2648209311.9188547,2724759296.6195784
2024-04-19 20:01:41.321618,2648210800.252854,2724755922.033038
2024-04-19 20:01:47.354783,2648209074.6848607,2724755172.430932
2024-04-19 20:01:52.805263,2648211703.161319,2724757920.498141
2024-04-19 20:01:58.884186,2648209632.986554,2724758152.5631523
2024-04-19 20:02:04.974215,2648208960.648014,2724756486.509653
2024-04-19 20:02:10.378611,2648209295.712134,2724755314.7058043
2024-04-19 20:02:16.450798,2648213776.602797,2724755959.005742
2024-04-19 20:02:22.478977,2648210216.2383747,2724756475.3927426
2024-04-19 20:02:27.905999,2648212257.340225,2724760461.588696
2024-04-19 20:02:33.371748,2648212158.5116634,2724758980.163207
2024-04-19 20:02:39.401111,2648210405.7989597,2724760781.3954434
2024-04-19 20:02:44.843236,2648209745.6695375,2724756426.417957
2024-04-19 20:02:50.237478,2648210961.859262,2724756664.1131516
2024-04-19 20:02:55.690430,2648209305.111911,2724756666.3868494
2024-04-19 20:03:00.533394,2648210699.178107,2724755690.872883
2024-04-19 20:03:05.322657,2648209314.0192943,2724760953.360232
2024-04-19 20:03:10.751136,2648210488.246299,2724757699.210802
2024-04-19 20:03:16.796844,2648210956.278925,2724756155.1072283
2024-04-19 20:03:22.859604,2648210197.502818,2724758438.838762
2024-04-19 20:03:28.251711,2648209363.0578065,2724756984.982023
2024-04-19 20:03:33.633059,2648211118.359747,2724757598.1424828
2024-04-19 20:03:39.703969,2648208632.4739923,2724755038.79217
2024-04-19 20:03:45.359611,2648209068.873724,2724755208.949436
2024-04-19 20:03:50.794512,2648211262.680991,2724759357.0176353
2024-04-19 20:03:56.190599,2648211976.65414,2724758054.8142138
2024-04-19 20:04:02.256593,2648209601.555059,2724757657.5784535
2024-04-19 20:04:08.329544,2648208821.160862,2724759723.1935616
